title,text,label
"Government Approves New Roads Project","The government has approved a new project to build better roads in cities and villages.",REAL
"World Leaders Meet to Discuss Economy","Leaders from major countries met to talk about improving the global economy.",REAL
"Local Elections Dates Announced","The election commission announced the dates for local elections.",REAL
"New Solar Energy Policy Released","The government introduced a policy to encourage solar and wind energy use.",REAL
"Prime Minister Visits Flood Areas","The Prime Minister visited areas affected by floods to check relief work.",REAL
"Parliament Debates Tax Changes","Lawmakers are discussing new tax rules to help small businesses.",REAL
"Opposition Seeks Transparency in Defense Deals","The opposition asked for full details about recent defense contracts.",REAL
"Bill Proposed to Control Social Media","A new bill was proposed to manage misinformation on social media.",REAL
"Digital ID System Launched","A new digital ID system was launched to make citizen services easier.",REAL
"Healthcare Funding Increased","Parliament approved more funding for hospitals and public health.",REAL
"Local Team Wins Football Championship","The local football team won the national championship this weekend.",REAL
"New Sports Added to Olympics 2028","The Olympics committee added new sports for the 2028 games.",REAL
"Star Player Injured Before World Cup","A famous cricketer got injured before the World Cup matches.",REAL
"Tennis Player Breaks Record","A tennis player won their 25th Grand Slam, setting a new record.",REAL
"City Marathon Attracts Thousands","Thousands of runners joined the annual city marathon.",REAL
"Basketball League Releases Schedule","The professional basketball league announced the new season schedule.",REAL
"Football Club Signs Top Player","A famous football club signed a star player for next season.",REAL
"National Hockey Team Trains for Asian Games","The national hockey team is preparing for the Asian Games.",REAL
"Golf Tournament Sees Large Crowd","A major golf tournament had record attendance this year.",REAL
"New Tech Hub Opens","A new technology hub opened to support startups and research.",REAL
"AI Algorithm Speeds Data Processing","Researchers made an AI system that processes data faster.",REAL
"Tech Company Releases New Phone","A leading tech company released a new smartphone.",REAL
"New Malware Threat Detected","Cybersecurity experts found a new malware targeting businesses.",REAL
"Space Agency Plans Moon Mission","The space agency announced a mission to the moon.",REAL
"Electric Car Sales Rise","Sales of electric cars have increased worldwide.",REAL
"Software Update Improves Security","A software update improves security and user experience.",REAL
"New Battery Technology Developed","Researchers developed a battery that lasts longer and charges faster.",REAL
"Health Officials Warn About Flu","Health officials warned about a new contagious flu strain.",REAL
"Diet Helps Heart Health","A study shows a healthy diet reduces the risk of heart disease.",REAL
"Vaccine Now Available in Rural Areas","COVID-19 vaccines are now being distributed in rural regions.",REAL
"Mental Health Campaign Launched","A campaign was launched to promote mental health awareness.",REAL
"New Cancer Treatment Shows Promise","Scientists found a promising treatment for certain cancers.",REAL
"Doctors Recommend Regular Checkups","Doctors advise annual health checkups for early detection.",REAL
"Healthy Eating Guidelines Updated","New guidelines encourage healthy eating habits.",REAL
"Smoking Rates Decline Globally","Studies show that fewer people are smoking worldwide.",REAL
"WHO Issues Health Guidelines","WHO released new guidelines for managing infectious diseases.",REAL
"Hospital Starts Robotic Surgeries","A hospital started using robots for precise surgeries.",REAL
"Film Festival Opens","The annual film festival started with international movies.",REAL
"Blockbuster Movie Breaks Records","A new movie broke box office records in its opening weekend.",REAL
"Singer Releases New Album","A famous singer released a new album.",REAL
"TV Show Wins Awards","A TV series won multiple awards at an international ceremony.",REAL
"Celebrity Charity Event Raises Funds","Celebrities raised money for charity at a special event.",REAL
"Streaming Platform Launches Originals","A new streaming service started releasing original shows.",REAL
"Actor Announces New Movie","A leading actor announced their next film project.",REAL
"Music Festival Attracts Fans","Thousands attended an international music festival.",REAL
"Animation Movie Becomes Hit","A new animated movie became very popular.",REAL
"Fashion Week Highlights Designers","Fashion week showed collections from designers worldwide.",REAL